計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2026/06/02,JCB国内利用 JCB コ-クオン アツプルペイ ツ,-80,楽天カード,現金・カード,カード引き落とし,,0,HItS-HnU8zYnMLWxE4iUPUoPlPWboDg9CkncxVBxTrg
1,2026/06/02,珈琲茶館集赤坂見附店 7115462062202 02333,-1980,楽天カード,食費,カフェ,,0,7invfSNFDt6BF2UGlY6tEqzvOeKwT6dwSuKs0TTp8G4
1,2026/06/02,入 永田町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,SZOFPsOjjErmkSVqw-BqBBEnY3rgjAXJ8fCOQG8w3MA
1,2026/06/02,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,ZHQpAv2Po4Cz-BwcxX29g-ZLSg6YydGv_59d2DMvjXU
1,2026/06/01,JCB国内利用 JCB ヤキトリミヤガワオオテマチテン,-10142,楽天カード,現金・カード,カード引き落とし,,0,O-heYLRl6avvS3yjvEuvGgFSIZbdlL4KGVkR5GHpyiw
1,2026/06/01,JCB国内利用 JCB コ-クオン アツプルペイ ツ,-80,楽天カード,現金・カード,カード引き落とし,,0,jOmBi1qNwUpDgpuS04ops4AElKDaSXOr5FOB9kieD0M
1,2026/06/01,物販,-106,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,BTbB9MsWZ93z5JJOJhM3Uy72w01y-vL7bfEGz7_J1ek
1,2026/06/01,入 地大手町 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,GTRhCpuNp3CiY4d7PMno-GpyaJmHFNpKWIsGd3LRJ1A
1,2026/06/01,入 永田町 出 地大手町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,oJfBglqoF8lJ3msTQ4AbarCh-jglbHidsz_EL6OQkUc
1,2026/06/01,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,sJiHUwzBOIeuETOSRT22M0KHUAiEpOPGUpRuXzsNG-Y
1,2026/06/01,ブンキヨウクシヨクリヨウヒントウブツカコウトウタイオウキユウフキン,5000,楽天銀行,未分類,未分類,,0,Qe_j7ooly1yt_vaFF-hW95bk-MDW-M8KVVbGlryZqLs
1,2026/05/31,イ-プラス,-6370,楽天カード,趣味・娯楽,映画・音楽・ゲーム,,0,_nJcR5ZAEeIQVvbhYMX3K0XmAx3oil3Fmk-t0GsW7so
1,2026/05/31,マイバスケツト,-3389,楽天カード,食費,食料品,,0,NW7D4wDHdUWcADGlKSphhE6RdESSzydNQxfys9QfXVk
1,2026/05/31,マクドナルド モバイルオーダー 701274,-300,楽天カード,食費,外食,,0,I5nGKRJ1VSd9FBWxOKfxuvAQx7UciPK_nubgadMfkCw
1,2026/05/31,JCB国内利用 JCB ソフトバンクエム,-3116,楽天カード,通信費,携帯電話,,0,1Unh8PuinPDcpxPNdPfRe-F6TUR8pyhk8--rYBAg34g
1,2026/05/31,入 溜池山王 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,iZDCB8yUZMsXN02b3KxuXs1aI707l8xxX7-hd4OVFl0
1,2026/05/31,入 後楽園 出 永田町,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,EW3rGcTkrmW7J5PBerGWJ7pHo8f6-FLZVuOsk4KiG5U
1,2026/05/30,セイブド-ム,-4400,楽天カード,衣服・美容,衣服,,0,RI6SI-7Ddvfnz8Lu6SOhGGrrFa936iOQ17Tp-TBka7c
1,2026/05/30,入 地 池袋 出 後楽園,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,lFb6L0ZpJVc4b-x3SagqViKPPOZOotFipS4nAtYPPwg
1,2026/05/30,入 西武球場 出 西武池袋,-442,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,XmmyV3ycwupmU6pgYem2Am2X4ZxjZ5rvX9Nak4-_dMc
1,2026/05/30,入 西武池袋 出 西武球場,-442,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,cBks6I68NSF8QLVU0x2_hRSvMRNlLdIKPcLQW4uycXk
1,2026/05/30,入 後楽園 出 地 池袋,-178,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,cMKFh4NLGNiSIri_-QZEZ9UvpSj8An81sGZcnlGNDao
1,2026/05/30,物販,-214,モバイルSuica（モバイルSuica ID）,未分類,未分類,,0,40ThbX0yZDuMbok2_pxi5PoKhroAVrSpBOArVOowu40
1,2026/05/29,イオンフ-ドスタイル,-1127,楽天カード,日用品,日用品,,0,gvanirBL6M2S_3HEfoLZT109EPPFhXshcBcvmTySijA
0,2026/05/29,Suicaチャージ(楽天ペイ) 704486,-3000,楽天カード,現金・カード,電子マネー,,1,kMElYgSadUOl3jFbnrau9oPSLKr0PGRzj5GQoVGKM00
1,2026/05/29,入 地 渋谷 出 後楽園,-209,モバイルSuica（モバイルSuica ID）,交通費,電車,,0,9f-QDp12_irAzehIRHF67AbBdJI4TKP1pJBpqGddyek
